mls_id,address,city,bedrooms,washrooms,parking,type,price,lat,lng,Elementary,Intermediate,Secondary
C12700816,607 45 Carlton Street,Toronto,4,2,1,Condo,779900,43.6620276,-79.3786055,Church Street Jr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
C12700724,912 11 Wellesley Street W,Toronto,0,1,0,Condo,390000,43.6631139,-79.3929547,Church Street Jr PS,Jesse Ketchum Jr & Sr PS,Jarvis CI
W12700700,412 556 Marlee Avenue,Toronto,2,2,1,Condo,699000,43.7046772,-79.4420641,Glen Park PS,Lawrence Heights MS */ Ledbury Park E & MS,John Polanyi CI
C12700696,1611 2020 Bathurst Street,Toronto,0,1,0,Condo,388000,43.6654776,-79.4112318,Cedarvale CS,Cedarvale CS,Forest Hill CI
E12700646,3501 2033 Kennedy Road,Toronto,2,2,1,Condo,619900,43.7575296,-79.2782765,Pauline Johnson Jr PS,John Buchan Sr PS,Stephen Leacock CI
C12700666,613 60 Tannery Road,Toronto,2,2,1,Condo,769000,43.6536286,-79.3549871,Dundas Jr PS,Queen Alexandra MS,Jarvis CI
C12700656,48 Wimpole Drive,Toronto,7,9,14,Detached,7800000,43.7601402,-79.3817983,Harrison PS,Windfields MS,York Mills CI
C12700648,121 Markham Street,Toronto,4,5,2,Detached,2495000,43.6510122,-79.4067081,Rolph Road ES,Bessborough Drive E & MS,Leaside HS
C12700624,1609 111 Bathurst Street,Toronto,1,1,0,Condo,689900,43.6450068,-79.4027724,Ryerson CS,Ryerson CS,Harbord CI
C12700608,176 Balmoral Avenue,Toronto,5,6,5,Detached,6498000,43.6843313,-79.4015099,Brown Jr PS,Deer Park Jr & Sr PS,Oakwood CI
C12700596,1603 50 Ordnance Street,Toronto,1,1,1,Condo,495000,43.639732,-79.4096397,Niagara Street Jr PS,Ryerson CS,Parkdale CI
C12700594,1505 160 Vanderhoof Avenue,Toronto,2,2,1,Condo,598000,43.7144444,-79.3531137,Bennington Heights ES,Bessborough Drive E & MS,Leaside HS
C12700580,7 Golden Lion Heights,Toronto,3,3,1,Detached,850000,43.7857189,-79.4163004,Lillian PS,Cummer Valley MS,Newtonbrook SS
E12700574,1011 20 Guildwood Parkway,Toronto,3,2,2,Condo,999000,43.7491492,-79.2048836,,,
E12700540,37 St. Magnus Drive,Toronto,4,4,4,Detached,2100000,43.788174,-79.1492787,,,
C12700536,2107 11 Bogert Avenue,Toronto,3,2,1,Condo,828000,43.7587441,-79.4197189,Cameron PS,Willowdale MS,Northview Heights SS
E12700480,647 Rhodes Avenue,Toronto,4,4,1,Detached,1179000,43.680956,-79.3237514,Earl Haig PS,Earl Haig PS,Monarch Park CI
W12700330,92 Harding Avenue,Toronto,3,2,2,Detached,988000,43.7006059,-79.498555,Brookhaven PS,Amesbury MS,Weston CI
